"Year","Age","n","n_preg","Smooth_preg_rate","CI95lower","CI95upper","n_estim"
2001,5,39,26,0.150227127774433,0.0679947943114859,0.299908357987768,35
2002,5,71,30,0.132205414241173,0.0542662498289416,0.287995842202095,31
2003,5,90,57,0.112902815255336,0.0393321502362717,0.283479345679408,25
2004,5,77,23,0.0934795843495959,0.0260599089583113,0.284389904248346,18
2005,5,86,54,0.0749871418566829,0.0159888433149218,0.287975705122317,13
2006,5,119,57,0.0582579201767083,0.00910254766012675,0.294080834815799,10
2007,5,84,62,0.0438343058760157,0.00482079670769589,0.302579322238145,6
2008,5,61,43,0.0319521204430449,0.00238153436067828,0.313359435945965,5
2009,5,105,59,0.0225767367587867,0.00110030105969352,0.32630851411476,3
2010,5,114,35,0.0154747862727993,0.000476587775994429,0.341298488832079,2
2011,5,153,30,0.0102980527956612,0.000193973833643662,0.358172533011927,1
2012,5,12,5,0.00665924901109849,7.43466103747866e-05,0.376733546915535,1
2013,5,10,6,0.00418787828738846,2.68923319023028e-05,0.39673541727463,1
2014,5,78,65,0.00256327293679361,9.19982252972901e-06,0.417878030059622,1
2015,5,19,15,0.00152802805907754,2.98308389072019e-06,0.439806818368732,1
2016,5,130,77,0.000894916217623991,9.41037441805688e-07,0.460212225362701,1
2017,5,53,28,0.000519255753650855,2.96140189600346e-07,0.476827446241276,1
2018,5,NA,NA,0.000298519575366677,9.30428262602343e-08,0.489364827137282,1
1952,6,NA,NA,0.172243152235131,0.0197869438002286,0.68203139661754,4
1953,6,NA,NA,0.198216403798166,0.0282340948304668,0.677788239004683,5
1954,6,33,29,0.226114754499726,0.0397377192183724,0.673518829936277,6
1955,6,NA,NA,0.255451061990916,0.054987964959231,0.669204174035831,7
1956,6,NA,NA,0.28563959256593,0.074561683330376,0.664926638725635,8
1957,6,NA,NA,0.316289250696011,0.0989551028932629,0.660860947198033,10
1958,6,NA,NA,0.34701625423718,0.128399823323775,0.657195349690676,12
1959,6,NA,NA,0.37746195691002,0.162747005725113,0.654133704330632,14
1960,6,NA,NA,0.407306708948729,0.201392587844778,0.651897910494576,17
1961,6,NA,NA,0.43627907409401,0.243275183054594,0.650730563347751,22
1962,6,NA,NA,0.464160416131847,0.286960033644768,0.650897201577045,29
1963,6,NA,NA,0.490785402925122,0.330794448672495,0.652686469925816,36
1964,6,25,22,0.516039297055953,0.373096809361141,0.656404611636429,47
1965,6,109,96,0.539853016634836,0.412335654635064,0.662358018963516,59
1966,6,49,43,0.562196903090746,0.447269006110096,0.670815775373792,76
1967,6,123,109,0.5830739850875,0.477034053646713,0.681948119339111,91
1968,6,55,48,0.602513335601137,0.501185896974746,0.695752659303704,94
1969,6,165,146,0.620563925315377,0.519677676927503,0.71200331298863,98
1970,6,107,92,0.637201205357994,0.533578675548483,0.72947428773727,93
1971,6,NA,NA,0.652308037555258,0.544399449306004,0.746557021335708,86
1972,6,NA,NA,0.66581982337584,0.552582133726948,0.762705229693644,76
1973,6,NA,NA,0.677686723588424,0.558535559870498,0.777490472393686,68
1974,6,NA,NA,0.687868819920859,0.562592364909196,0.790618804661928,62
1975,6,NA,NA,0.696330990987558,0.56499967996278,0.801913219361228,58
1976,6,NA,NA,0.703037694285818,0.565927393718014,0.811281194880415,53
1977,6,NA,NA,0.707947783777098,0.565482121162855,0.818680595609871,49
1978,6,NA,NA,0.711009441885066,0.563720859026076,0.824089885587199,46
1979,6,8,4,0.712155274926999,0.560662185676345,0.827483978555031,43
1980,6,12,9,0.71129762054219,0.556294730340663,0.828814911984341,43
1981,6,17,14,0.708324153938645,0.550583324961634,0.827995870990681,40
1982,6,3,1,0.703093968637034,0.543473405147207,0.824887139549464,40
1983,6,NA,NA,0.695434462476807,0.534894185903589,0.819282949882397,39
1984,6,NA,NA,0.685139600098581,0.52476105325663,0.810898839185539,39
1985,6,1,1,0.671611246528529,0.513449501877515,0.798533224309543,42
1986,6,11,8,0.654556046273545,0.498889254917913,0.782908446252324,42
1987,6,24,15,0.634225190312809,0.481577014942977,0.763957040648584,44
1988,6,19,14,0.610928535352755,0.462019257303661,0.741666843738452,46
1989,6,25,2,0.585058960590826,0.440728473530627,0.716132677302815,49
1990,6,10,6,0.557105028206315,0.418211414626817,0.68760847167509,52
1991,6,29,18,0.527648996603398,0.394951581147772,0.656551317399857,55
1992,6,32,21,0.497349216721947,0.371390055195068,0.623645741347463,59
1993,6,35,16,0.466908900785796,0.347910259983739,0.589795800661108,66
1994,6,40,33,0.437036350661352,0.32483281632414,0.556076180172339,71
1995,6,16,14,0.408403870457232,0.302425221303693,0.523642461570886,75
1996,6,37,24,0.381612922044182,0.280926060406031,0.493614618673511,80
1997,6,36,26,0.357171472992773,0.26057494058034,0.466962799438646,83
1998,6,36,21,0.335486576183618,0.241632399414094,0.444431592582048,84
1999,6,59,35,0.316872087943088,0.22437738037965,0.426527985571959,82
2000,6,42,29,0.300437396708319,0.205392326880703,0.416415618180332,72
2001,6,39,26,0.285094301142333,0.18652191297932,0.409534269434854,64
2002,6,71,30,0.270797269898454,0.168328364725178,0.405248892229935,53
2003,6,90,57,0.257496570353215,0.150663277645206,0.404046215123267,46
2004,6,77,23,0.245139957518751,0.132166610099087,0.409152575887977,37
2005,6,86,54,0.233674058082808,0.114526714519162,0.418229298365938,29
2006,6,119,57,0.223045476564694,0.0980551685541295,0.431192071112072,23
2007,6,84,62,0.213201655813521,0.0829734537096627,0.447976127743354,18
2008,6,61,43,0.204091525817929,0.0694152819661416,0.468510426848649,15
2009,6,105,59,0.195665974120025,0.0574345748943915,0.492687413674467,12
2010,6,114,35,0.187878168905041,0.0470173970262576,0.520330200466111,10
2011,6,153,30,0.180683762742906,0.0380961000894845,0.551160089653166,8
2012,6,12,5,0.174041001476477,0.030564045215118,0.584768936525745,7
2013,6,10,6,0.167910759218913,0.0242895519768093,0.62060230104209,5
2014,6,78,65,0.16225651705495,0.019128116072327,0.657959832050679,5
